index,descriptors,relative_frequency
"Malbec, Columbia Valley, Washington, USA",plum,0.04
"Pinot Grigio, Southern Oregon, Oregon, USA",minerality,0.03
"Tempranillo, Inland Valleys, California, USA",plum,0.03
"Pinot Noir, Niederosterreich, Austria",berry,0.04
"Cabernet Sauvignon, Finger Lakes, New York, USA",tarragon,0.03
"Cabernet Franc, Sonoma Valley, North Coast, California, USA",savory,0.02
"Cabernet Sauvignon, Maule Valley, Central Valley, Chile",candy,0.04
"Cabernet Sauvignon, Monterey, Central Coast, California, USA",dust,0.02
"Pinot Noir, Monterey, Central Coast, California, USA",blackberry,0.01
"Merlot, Paso Robles, Central Coast, California, USA",pepper,0.02
"Riesling, Rheinhessen, Germany",oily,0.03
"Riesling, Rheingau, Germany",earth,0.03
"Pinot Noir, Finger Lakes, New York, USA",pepper,0.04
"Pinot Noir, Santa Barbara, Central Coast, California, USA",savory,0.01
"Merlot, Columbia Valley, Washington, USA",toast,0.03
"Pinot Noir, Wairarapa, New Zealand",ripe,0.04
"Merlot, Maipo Valley, Central Valley, Chile",cherry,0.03
"Cabernet Sauvignon, Aconcagua Valley, Aconcagua Region, Chile",tree_bark,0.04
"Cabernet Franc, Long Island, New York, USA",coffee,0.04
"Sangiovese, Napa Valley, North Coast, California, USA",fruity,0.02
"Sauvignon Blanc, Coastal Region, South Africa",herb,0.04
"White Blend, Burgenland, Austria",pear,0.04
"Syrah, Paso Robles, Central Coast, California, USA",berry,0.02
"Chardonnay, Breede River Valley",lemon,0.03
"Syrah, Columbia Valley, Washington, USA",juicy,0.03
"Syrah, Columbia Valley, Oregon, USA",raspberry,0.03
"Syrah, Sierra Foothills, California, USA",earth,0.03
"Chardonnay, Paso Robles, Central Coast, California, USA",pear,0.03
"Syrah, Southern Oregon, Oregon, USA",jam,0.03
"Syrah, Maipo Valley, Central Valley, Chile",blackberry,0.04
"Cabernet Sauvignon, Napa Valley, North Coast, California, USA",chocolate,0.01
"Chardonnay, Columbia Valley, Washington, USA",peach,0.03
"Chardonnay, Maipo Valley, Central Valley, Chile",over-oaked,0.04
"Zinfandel, San Francisco Bay, Central Coast, California, USA",berry,0.03
"Pinot Noir, Napa Valley, North Coast, California, USA",cola,0.03
"Tempranillo, Sierra Foothills, California, USA",toffee,0.02
"Tempranillo, Columbia Valley, Washington, USA",leafy,0.03
"Tempranillo, Southern Oregon, Oregon, USA",reductive,0.04
"Cabernet Sauvignon, Inland Valleys, California, USA",perfumed,0.03
"Cabernet Sauvignon, Cachapoal Valley, Central Valley, Chile",cherry,0.04
"Syrah, Casablanca Valley, Aconcagua Region, Chile",vegetal,0.03
"Sauvignon Blanc, Colchagua Valley, Central Valley, Chile",ripe,0.04
"Merlot, Sonoma Valley, North Coast, California, USA",raspberry,0.02
"Chardonnay, Casablanca Valley, Aconcagua Region, Chile",lactic,0.04
"Grenache, Santa Barbara, Central Coast, California, USA",pepper,0.02
"Zinfandel, Inland Valleys, California, USA",cherry,0.03
"Merlot, San Francisco Bay, Central Coast, California, USA",berry,0.03
"Sauvignon Blanc, Monterey, Central Coast, California, USA",pineapple,0.04
"Sauvignon Blanc, Finger Lakes, New York, USA",french_oak,0.06
"Sauvignon Blanc, Maule Valley, Central Valley, Chile",gooseberry,0.04
"Syrah, Sonoma Valley, North Coast, California, USA",candy,0.02
"Chardonnay, Long Island, New York, USA",american_oak,0.03
"Chardonnay, Sonoma Valley, North Coast, California, USA",flower,0.02
"Cabernet Sauvignon, Paso Robles, Central Coast, California, USA",overripe,0.02
"Cabernet Sauvignon, Rapel Valley, Central Valley, Chile",plum,0.05
"Cabernet Sauvignon, Maipo Valley, Central Valley, Chile",coffee,0.03
"Cabernet Sauvignon, Columbia Valley, Oregon, USA",blackberry,0.03
"Sauvignon Blanc, Cape South Coast, South Africa",hay,0.03
"Syrah, San Luis Obispo, Central Coast, California, USA",currant,0.03
"Riesling, Niederosterreich, Austria",citrus,0.03
"Zinfandel, Paso Robles, Central Coast, California, USA",earth,0.03
"Riesling, Santa Barbara, Central Coast, California, USA",orange_blossom,0.02
"Zinfandel, Columbia Valley, Washington, USA",american_oak,0.03
"Zinfandel, Sierra Foothills, California, USA",raspberry,0.04
"Sauvignon Blanc, Napa Valley, North Coast, California, USA",unripe,0.03
"Chardonnay, Willamette Valley, Oregon, USA",flower,0.03
"Chardonnay, Canterbury and Waipara, New Zealand",smoke,0.06
"Viognier, Inland Valleys, California, USA",nectarine,0.03
"White Blend, Southern Greece, Greece",lemon_peel,0.03
"Sauvignon Blanc, Hawkes Bay, New Zealand",smoke,0.03
"Cabernet Sauvignon, Sonoma Valley, North Coast, California, USA",berry,0.02
"Syrah, Breede River Valley",kirsch,0.03
"Pinot Noir, Marlborough, New Zealand",plum,0.02
"Grenache, Paso Robles, Central Coast, California, USA",citrus,0.03
"Pinot Noir, Sonoma Valley, North Coast, California, USA",mint,0.01
"Cabernet Sauvignon, San Francisco Bay, Central Coast, California, USA",cassis,0.03
"Sauvignon Blanc, San Antonio, Aconcagua Region, Chile",bell_pepper,0.03
"White Blend, Coastal Region, South Africa",oak,0.05
"Pinot Noir, San Francisco Bay, Central Coast, California, USA",herb,0.02
"Zinfandel, Sonoma Valley, North Coast, California, USA",jam,0.03
"Viognier, Paso Robles, Central Coast, California, USA",pastry,0.04
"Viognier, Columbia Valley, Washington, USA",lemon,0.04
"Sauvignon Blanc, Paso Robles, Central Coast, California, USA",grapefruit,0.02
"Viognier, Sierra Foothills, California, USA",pineapple,0.04
"Pinot Noir, San Luis Obispo, Central Coast, California, USA",candy,0.01
"Viognier, Southern Oregon, Oregon, USA",grapefruit,0.02
"Merlot, Rapel Valley, Central Valley, Chile",toast,0.05
"Merlot, Napa-Sonoma, North Coast, California, USA",weed,0.02
"Sauvignon Blanc, Maipo Valley, Central Valley, Chile",lactic,0.03
"Pinot Noir, Willamette Valley, Oregon, USA",earth,0.03
"Bordeaux-style Red Blend, Santa Barbara, Central Coast, California, USA",chocolate,0.03
"Merlot, Long Island, New York, USA",cooked,0.03
"Petite Sirah, Napa Valley, North Coast, California, USA",spice,0.02
"Pinot Noir, San Benito, Central Coast, California, USA",rose,0.01
"Syrah, Napa-Sonoma, North Coast, California, USA",compost,0.02
"Sangiovese, Paso Robles, Central Coast, California, USA",strawberry,0.02
"Petite Sirah, Inland Valleys, California, USA",grapey,0.04
"Chardonnay, Napa-Sonoma, North Coast, California, USA",earth,0.03
"Sangiovese, Columbia Valley, Washington, USA",cranberry,0.03
"Sangiovese, Sierra Foothills, California, USA",minerality,0.02
"Merlot, Galilee, Israel",stemmy,0.04
"Pinot Noir, San Antonio, Aconcagua Region, Chile",spice,0.03
"Viognier, Sonoma Valley, North Coast, California, USA",steel,0.02
"Cabernet Sauvignon, Columbia Valley, Washington, USA",pepper,0.02
"Sauvignon Blanc, Marlborough, New Zealand",citrus,0.03
"Cabernet Sauvignon, Sierra Foothills, California, USA",spice,0.02
"Sauvignon Blanc, Sonoma Valley, North Coast, California, USA",savory,0.03
"Syrah, Galilee, Israel",berry,0.04
"Cabernet Sauvignon, Southern Oregon, Oregon, USA",wood,0.03
"White Blend, Macedonia, Greece",fruit,0.05
"Chardonnay, Burgenland, Austria",toast,0.06
"Pinot Noir, Paso Robles, Central Coast, California, USA",medicinal,0.05
"Riesling, Monterey, Central Coast, California, USA",honeysuckle,0.03
"Pinot Noir, Southern Oregon, Oregon, USA",pine,0.03
"Malbec, Colchagua Valley, Central Valley, Chile",mint,0.05
"Riesling, Finger Lakes, New York, USA",tropical_fruit,0.02
"Chardonnay, Galilee, Israel",chalk,0.04
"Cabernet Franc, Napa Valley, North Coast, California, USA",coffee,0.01
"Petite Sirah, Paso Robles, Central Coast, California, USA",stone,0.02
"Merlot, Curico Valley, Central Valley, Chile",red_berry,0.03
"Pinot Grigio, Monterey, Central Coast, California, USA",ripe,0.03
"Sauvignon Blanc, San Luis Obispo, Central Coast, California, USA",honey,0.04
"Pinot Grigio, Finger Lakes, New York, USA",wax,0.04
"Pinot Noir, Nelson, New Zealand",strawberry,0.06
"Pinot Grigio, Santa Barbara, Central Coast, California, USA",candy,0.02
"Bordeaux-style Red Blend, Coastal Region, South Africa",cherry,0.04
"Pinot Noir, Casablanca Valley, Aconcagua Region, Chile",tea,0.04
"Sangiovese, Sonoma Valley, North Coast, California, USA",ripe,0.03
"Riesling, Pfalz, Germany",apple,0.04
"Chardonnay, Gisborne, New Zealand",melon,0.04
"White Blend, Napa Valley, North Coast, California, USA",citrus,0.05
"Cabernet Sauvignon, Napa-Sonoma, North Coast, California, USA",banana,0.04
"Chardonnay, Auckland, New Zealand",pineapple,0.02
"Merlot, Santa Barbara, Central Coast, California, USA",chocolate,0.02
"Cabernet Sauvignon, Long Island, New York, USA",new_oak,0.05
"Syrah, Hawkes Bay, New Zealand",toast,0.03
"Grenache, Columbia Valley, Washington, USA",wood,0.02
"Syrah, Santa Barbara, Central Coast, California, USA",currant,0.02
"Cabernet Sauvignon, Galilee, Israel",berry,0.03
"Chardonnay, Monterey, Central Coast, California, USA",apple,0.02
"Riesling, Nahe, Germany",spice,0.03
"Petite Sirah, Sonoma Valley, North Coast, California, USA",oak,0.02
"Chardonnay, Santa Barbara, Central Coast, California, USA",smoke,0.02
"Sauvignon Blanc, Columbia Valley, Washington, USA",minerality,0.03
"Sauvignon Blanc, Sierra Foothills, California, USA",grapefruit,0.05
"Petite Sirah, San Francisco Bay, Central Coast, California, USA",violet,0.02
"Bordeaux-style Red Blend, Finger Lakes, New York, USA",thyme,0.03
"Sauvignon Blanc, Steiermark, Austria",smoke,0.02
"Pinot Noir, Canterbury and Waipara, New Zealand",ripe,0.02
"Pinot Noir, Central Otago, New Zealand",black_cherry,0.02
"Sauvignon Blanc, Nelson, New Zealand",asparagus,0.06
"Sauvignon Blanc, Casablanca Valley, Aconcagua Region, Chile",salinity,0.04
"Cabernet Franc, Finger Lakes, New York, USA",raspberry,0.03
"Cabernet Sauvignon, Curico Valley, Central Valley, Chile",ripe,0.03
"Merlot, Coastal Region, South Africa",tobacco,0.04
"Riesling, Columbia Valley, Washington, USA",honey,0.03
"Chardonnay, Napa Valley, North Coast, California, USA",orange,0.03
"Bordeaux-style Red Blend, Napa Valley, North Coast, California, USA",overripe,0.01
"Sauvignon Blanc, Long Island, New York, USA",clove,0.03
"Sauvignon Blanc, Limari Valley, Coquimbo Region, Chile",tropical_fruit,0.03
"Syrah, Coastal Region, South Africa",flower,0.03
"Cabernet Sauvignon, Santa Barbara, Central Coast, California, USA",super_ripe,0.02
"Cabernet Franc, San Francisco Bay, Central Coast, California, USA",violet,0.03
"Chardonnay, Coastal Region, South Africa",chalk,0.02
"Bordeaux-style Red Blend, Hawkes Bay, New Zealand",olive,0.05
"Merlot, Colchagua Valley, Central Valley, Chile",plum,0.03
"Petite Sirah, Sierra Foothills, California, USA",leather,0.02
"Riesling, Marlborough, New Zealand",pear,0.03
"Merlot, Monterey, Central Coast, California, USA",flower,0.03
"Pinot Noir, Napa-Sonoma, North Coast, California, USA",candy,0.01
"Merlot, Finger Lakes, New York, USA",fruit,0.05
"Pinot Grigio, Marlborough, New Zealand",minerality,0.04
"Syrah, Colchagua Valley, Central Valley, Chile",rubber,0.04
"Pinot Grigio, Sonoma Valley, North Coast, California, USA",oak,0.04
"Merlot, Maule Valley, Central Valley, Chile",tomato,0.03
"Chardonnay, Hawkes Bay, New Zealand",flower,0.03
"Bordeaux-style Red Blend, Paso Robles, Central Coast, California, USA",tobacco,0.02
"Chardonnay, Colchagua Valley, Central Valley, Chile",wax,0.03
"Riesling, Mosel, Germany",slate,0.02
"Zinfandel, Napa Valley, North Coast, California, USA",dust,0.02
"Bordeaux-style Red Blend, Columbia Valley, Washington, USA",plum,0.02
"Sauvignon Blanc, Curico Valley, Central Valley, Chile",honey,0.02
"Riesling, Willamette Valley, Oregon, USA",candy,0.02
"Gruner Veltliner, Burgenland, Austria",lemon,0.03
"Syrah, Monterey, Central Coast, California, USA",oak,0.02
"Pinot Grigio, San Luis Obispo, Central Coast, California, USA",lemon,0.03
"Pinot Noir, Burgenland, Austria",bramble,0.04
"Riesling, Central Otago, New Zealand",minerality,0.03
"Riesling, Canterbury and Waipara, New Zealand",pineapple,0.04
"Cabernet Sauvignon, Coastal Region, South Africa",earth,0.04
"Pinot Grigio, Willamette Valley, Oregon, USA",lemon,0.03
"Chardonnay, Finger Lakes, New York, USA",tropical_fruit,0.03
"Chardonnay, Maule Valley, Central Valley, Chile",chemical,0.04
"Cabernet Franc, Columbia Valley, Washington, USA",berry,0.02
"Cabernet Franc, Sierra Foothills, California, USA",wood,0.03
"Merlot, Napa Valley, North Coast, California, USA",juicy,0.01
"Viognier, Santa Barbara, Central Coast, California, USA",steel,0.03
"Sauvignon Blanc, Santa Barbara, Central Coast, California, USA",savory,0.02
"Sauvignon Blanc, Wairarapa, New Zealand",leafy,0.04
"Chardonnay, Marlborough, New Zealand",pineapple,0.02
"Syrah, San Francisco Bay, Central Coast, California, USA",plum,0.03
"White Blend, Columbia Valley, Washington, USA",pineapple,0.03
"Chardonnay, San Francisco Bay, Central Coast, California, USA",lactic,0.03
"Merlot, Hawkes Bay, New Zealand",root,0.04
"Syrah, Napa Valley, North Coast, California, USA",inky,0.02
"Bordeaux-style Red Blend, Long Island, New York, USA",leather,0.03
"Bordeaux-style Red Blend, Sonoma Valley, North Coast, California, USA",milk_chocolate,0.02
"Cabernet Sauvignon, Colchagua Valley, Central Valley, Chile",cassis,0.03
"Sangiovese, Santa Barbara, Central Coast, California, USA",candy,0.02
"Chardonnay, San Luis Obispo, Central Coast, California, USA",steel,0.02
"Syrah, Inland Valleys, California, USA",flower,0.03
"Syrah, Cachapoal Valley, Central Valley, Chile",cedar,0.04
"Pinot Grigio, Columbia Valley, Washington, USA",lemon,0.03
"Syrah, Alentejo, Portugal",blackberry,0.03
"Gruner Veltliner, Niederosterreich, Austria",peach,0.02
"Chardonnay, Inland Valleys, California, USA",candy,0.03
"Malbec, Columbia Valley, Washington, USA",blueberry,0.03
"Pinot Grigio, Southern Oregon, Oregon, USA",juicy,0.03
"Pinot Noir, Niederosterreich, Austria",strawberry,0.03
"Cabernet Sauvignon, Finger Lakes, New York, USA",clay,0.03
"Cabernet Franc, Sonoma Valley, North Coast, California, USA",spice,0.02
"Cabernet Sauvignon, Maule Valley, Central Valley, Chile",mulch,0.04
"Cabernet Sauvignon, Monterey, Central Coast, California, USA",overripe,0.02
"Pinot Noir, Monterey, Central Coast, California, USA",berry,0.01
"Merlot, Paso Robles, Central Coast, California, USA",raisin,0.02
"Riesling, Rheinhessen, Germany",funky,0.03
"Riesling, Rheingau, Germany",lime,0.03
"Pinot Noir, Finger Lakes, New York, USA",savory,0.03
"Pinot Noir, Santa Barbara, Central Coast, California, USA",candy,0.01
"Merlot, Columbia Valley, Washington, USA",smoke,0.02
"Pinot Noir, Wairarapa, New Zealand",flower,0.03
"Merlot, Maipo Valley, Central Valley, Chile",moss,0.03
"Cabernet Sauvignon, Aconcagua Valley, Aconcagua Region, Chile",foxy,0.04
"Cabernet Franc, Long Island, New York, USA",forest_floor,0.04
"Sangiovese, Napa Valley, North Coast, California, USA",currant,0.02
"Sauvignon Blanc, Coastal Region, South Africa",green_bean,0.04
"White Blend, Burgenland, Austria",rose,0.04
"Syrah, Paso Robles, Central Coast, California, USA",oak,0.02
"Chardonnay, Breede River Valley",tropical_fruit,0.03
"Syrah, Columbia Valley, Washington, USA",toast,0.02
"Syrah, Columbia Valley, Oregon, USA",cassis,0.03
"Syrah, Sierra Foothills, California, USA",spice,0.03
"Chardonnay, Paso Robles, Central Coast, California, USA",caramel,0.03
"Syrah, Southern Oregon, Oregon, USA",inky,0.03
"Syrah, Maipo Valley, Central Valley, Chile",fruit,0.04
"Cabernet Sauvignon, Napa Valley, North Coast, California, USA",dust,0.01
"Chardonnay, Columbia Valley, Washington, USA",flower,0.02
"Chardonnay, Maipo Valley, Central Valley, Chile",wild_flower,0.04
"Zinfandel, San Francisco Bay, Central Coast, California, USA",maple_syrup,0.02
"Pinot Noir, Napa Valley, North Coast, California, USA",pepper,0.03
"Tempranillo, Sierra Foothills, California, USA",anise,0.02
"Tempranillo, Columbia Valley, Washington, USA",ripe,0.03
"Tempranillo, Southern Oregon, Oregon, USA",new_oak,0.04
"Cabernet Sauvignon, Inland Valleys, California, USA",strawberry,0.03
"Cabernet Sauvignon, Cachapoal Valley, Central Valley, Chile",tree_bark,0.04
"Syrah, Casablanca Valley, Aconcagua Region, Chile",burnt,0.03
"Sauvignon Blanc, Colchagua Valley, Central Valley, Chile",melon,0.04
"Merlot, Sonoma Valley, North Coast, California, USA",earth,0.02
"Chardonnay, Casablanca Valley, Aconcagua Region, Chile",ripe,0.03
"Grenache, Santa Barbara, Central Coast, California, USA",clove,0.01
"Zinfandel, Inland Valleys, California, USA",wild_berry,0.03
"Merlot, San Francisco Bay, Central Coast, California, USA",cassis,0.02
"Sauvignon Blanc, Monterey, Central Coast, California, USA",lemon_curd,0.02
"Sauvignon Blanc, Finger Lakes, New York, USA",flower,0.06
"Sauvignon Blanc, Maule Valley, Central Valley, Chile",white_fruit,0.04
"Syrah, Sonoma Valley, North Coast, California, USA",berry,0.02
"Chardonnay, Long Island, New York, USA",lemon,0.02
"Chardonnay, Sonoma Valley, North Coast, California, USA",new_oak,0.02
"Cabernet Sauvignon, Paso Robles, Central Coast, California, USA",vegetal,0.02
"Cabernet Sauvignon, Rapel Valley, Central Valley, Chile",rubber,0.05
"Cabernet Sauvignon, Maipo Valley, Central Valley, Chile",olive,0.03
"Cabernet Sauvignon, Columbia Valley, Oregon, USA",earth,0.03
"Sauvignon Blanc, Cape South Coast, South Africa",grapefruit,0.03
"Syrah, San Luis Obispo, Central Coast, California, USA",raspberry,0.03
"Riesling, Niederosterreich, Austria",spice,0.03
"Zinfandel, Paso Robles, Central Coast, California, USA",spice,0.03
"Riesling, Santa Barbara, Central Coast, California, USA",chalk,0.02
"Zinfandel, Columbia Valley, Washington, USA",cherry,0.03
"Zinfandel, Sierra Foothills, California, USA",raisin,0.03
"Sauvignon Blanc, Napa Valley, North Coast, California, USA",savory,0.02
"Chardonnay, Willamette Valley, Oregon, USA",lemon,0.02
"Chardonnay, Canterbury and Waipara, New Zealand",lemon,0.06
"Viognier, Inland Valleys, California, USA",peach,0.03
"White Blend, Southern Greece, Greece",candy,0.03
"Sauvignon Blanc, Hawkes Bay, New Zealand",toast,0.03
"Cabernet Sauvignon, Sonoma Valley, North Coast, California, USA",jam,0.02
"Syrah, Breede River Valley",savory,0.03
"Pinot Noir, Marlborough, New Zealand",perfumed,0.02
"Grenache, Paso Robles, Central Coast, California, USA",olallieberry,0.02
"Pinot Noir, Sonoma Valley, North Coast, California, USA",blackberry,0.01
"Cabernet Sauvignon, San Francisco Bay, Central Coast, California, USA",plum,0.02
"Sauvignon Blanc, San Antonio, Aconcagua Region, Chile",pepper,0.03
"White Blend, Coastal Region, South Africa",ripe,0.05
